stars,user_idx,item_idx
1,0,12
1,1,12
5,2,12
5,3,12
5,4,12
5,5,12
4,6,12
1,7,12
5,8,12
5,9,12
5,10,12
4,11,12
1,12,12
5,13,12
5,14,12
3,15,12
5,16,12
4,17,12
3,18,12
5,19,12
5,20,12
5,21,12
3,22,12
2,23,12
4,24,12
5,25,12
5,26,12
3,27,12
5,28,12
5,29,12
3,30,12
1,31,12
4,32,12
4,33,12
5,34,12
3,35,12
5,36,12
5,37,12
2,38,12
4,39,12
5,40,12
5,41,12
5,42,12
4,43,12
1,44,12
5,45,12
3,46,12
5,47,12
5,48,12
2,49,12
5,50,12
4,51,12
5,52,12
5,53,12
5,54,12
4,55,12
1,56,12
1,57,12
5,58,12
1,59,12
1,60,12
3,61,12
3,62,12
5,63,12
1,64,12
1,65,12
3,61482,12
5,61483,12
4,61484,12
5,61485,12
4,61486,12
4,3,1697
5,52,1697
2,60,1697
5,113,1697
5,336,1697
2,382,1697
3,396,1697
5,562,1697
5,566,1697
3,621,1697
4,709,1697
5,862,1697
5,1065,1697
1,1517,1697
1,2650,1697
4,2683,1697
2,2962,1697
5,2977,1697
5,3934,1697
5,4546,1697
5,4735,1697
4,4752,1697
5,4828,1697
2,4864,1697
4,5041,1697
5,5056,1697
5,5078,1697
5,5086,1697
5,5496,1697
5,6049,1697
4,6687,1697
3,6759,1697
5,7074,1697
1,7093,1697
5,7097,1697
5,7098,1697
2,7352,1697
5,9829,1697
4,9843,1697
1,9903,1697
4,10330,1697
5,11108,1697
5,11318,1697
1,12019,1697
4,12330,1697
5,12408,1697
4,12567,1697
1,12697,1697
1,12721,1697
1,13310,1697
5,13959,1697
4,14722,1697
4,14728,1697
5,14729,1697
5,14740,1697
5,14743,1697
5,14744,1697
4,14816,1697
4,15124,1697
5,15137,1697
5,15233,1697
5,15258,1697
3,15271,1697
5,15296,1697
5,15310,1697
5,15336,1697
4,15511,1697
5,15537,1697
5,15886,1697
1,15905,1697
1,15914,1697
5,15955,1697
5,15957,1697
4,15963,1697
5,15964,1697
3,15977,1697
5,15979,1697
4,15980,1697
2,15987,1697
3,15990,1697
5,16011,1697
4,16035,1697
1,16036,1697
5,16048,1697
4,16060,1697
4,16072,1697
1,16088,1697
4,16094,1697
4,16099,1697
5,16113,1697
3,16120,1697
5,16124,1697
4,16153,1697
5,16176,1697
4,16184,1697
5,16208,1697
1,16258,1697
5,16260,1697
1,16266,1697
5,16291,1697
2,16313,1697
2,16314,1697
1,16326,1697
4,16332,1697
5,16364,1697
5,16379,1697
5,16385,1697
1,16388,1697
2,16402,1697
5,16420,1697
5,16425,1697
5,16428,1697
5,16431,1697
5,16440,1697
5,16444,1697
4,16447,1697
5,16459,1697
5,16477,1697
4,16498,1697
5,16507,1697
